Номер указания,Продукция (ввоз)
ФС-АРэ-7/3599-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3599-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3599-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3600-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3612-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3612-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3612-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3612-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3613-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3613-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3613-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3613-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3614-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3614-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3614-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/3614-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/3615-3,живая птица и инкубационное яйцо
ФС-АРэ-7/3615-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/3615-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
