Номер указания,Продукция (ввоз)
ФС-АРэ-7/4439-3,"генетического материала (за исключением отобранных in vivo, в соответствии с положениями главы 8.8.17 Кодекса МЭБ)"
ФС-АРэ-7/4439-3,"сырого мяса и мясопродукции, не подвергнутой тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.31 кодекса МЭБ). молока и молочной продукции (не подвергнутых тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.35 Кодекса МЭБ)"
ФС-АРэ-7/4439-3,"шерсти, волос, щетины, трофеев, кишечного сырья, шкур и кожи, не обработанных по технологии, гарантирующей разрушен"
ФС-АРэ-7/4440-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4440-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4440-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4454-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4454-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4454-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4455-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4455-3,"мясо птицы,  готовая мясная продукция из птицы и все виды птицеводческой продукции,  содержащей в своем составе продукты переработки птицы, за исключением  товаров подверженных обработке, обеспечивающей разрушение вирусов  гриппа птиц, согласно положениям Кодекса здоровья наземных животных  МЭБ"
ФС-АРэ-7/4455-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых  добавок растительного происхождения, химического и микробиологического  синтеза, кормов и кормовых добавок, подверженных обработке согласно  статьям 10.4.2 и 10"
ФС-АРэ-7/4466-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4466-3,"мясо птицы, готовая мясная продукция из птицы и всех видов птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4466-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4466-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4477-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4477-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4477-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4478-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4478-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4478-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4486-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4486-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке,  обеспечивающей разрушение вирусов гриппа птиц, согласно  положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4486-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза)"
ФС-АРэ-7/4486-3,"бывшее в употреблении оборудование для содержания, убоя и разделки птиц"
ФС-АРэ-7/4498-3,"диких свиней, домашних свиней, спермы домашних свиней, полученных in vivo эмбрионов домашних свиней, продуктов убоя свиней, отходов и навоза от свиней, бывшего в употреблении оборудования для содержания, убоя и разделки, охотничьих трофеев, а также продукции, содержащей свинину, за исключением следующих видов продукции, прошедших обработку по технологии, гарантирующей разрушение вируса АЧС в соответствии с положениями Главы 15.1 Кодекса здоровья наземных животных МЭБ: готовой продукции из свинины"
ФС-АРэ-7/4498-3,"готовой продукции, содержащей в своем составе свинину или"
ФС-АРэ-7/4501-3,Инкубационное яйцо и суточные птенцы
ФС-АРэ-7/4519-3,живая птица и инкубационное яйцо
ФС-АРэ-7/4519-3,"мясо птицы, готовая мясная продукция из птицы и все виды птицеводческой продукции, содержащей в своем составе продукты переработки птицы, за исключением товаров подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4519-3,"корма и кормовые добавки для птиц (за исключением кормов и кормовых добавок растительного происхождения, химического и микробиологического синтеза, кормов и кормовых добавок, подверженных обработке согласно статьям 10.4.2 и 10.4.19 К"
ФС-АРэ-7/4522-3,живой птицы и инкубационного яйца
ФС-АРэ-7/4522-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.19, 10.4.20,10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4522-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а также бывшего в употреблении оборудования для содержания, убоя и разделки птиц"
ФС-АРэ-7/4530-3,восприимчивых к ящуру живых животных
ФС-АРэ-7/4530-3,"генетического материала (за исключением отобранных in vivo, в соответствии с положениями главы 8.8.17 Кодекса МЭБ)"
ФС-АРэ-7/4530-3,"сырого мяса и мясопродукции, не подвергнутой тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.31 кодекса МЭБ). молока и молочной продукции (не подвергнутых тепловой обработке, гарантирующей разрушение вируса ящура (в соответствии со статьей 8.8.35 Кодекса МЭБ)"
ФС-АРэ-7/4530-3,"шерсти, волос, щетины, трофеев, кишечного сырья, шкур и кожи, не обработанных по технологии, гарантирующей разрушен"
ФС-АРэ-7/4541-3,живой птицы и инкубационного яйца
ФС-АРэ-7/4541-3,"мяса птицы и всех видов птицеводческой продукции не прошедших тепловую обработку (не менее 70ºС), за исключением товаров, подверженных обработке, обеспечивающей разрушение вирусов гриппа птиц, согласно положениям статьи 10.4.19, 10.4.20,10.4.21, 10.4.22, 10.4.23, 10.4.24, 10.4.25 Кодекса здоровья наземных животных МЭБ"
ФС-АРэ-7/4541-3,"кормов и кормовых добавок для птиц (за исключением кормовых добавок растительного происхождения, химического и микробиологического синтеза), а также бывшего в употреблении оборудования для содержания, убоя и разделки птиц"
